a,a,,
a',ˈa,,
ạ,ạ,,
ạ́,ạ',,
æ,æ,,
æ',ǽ,,
c,ts,,
c̣,c̣,,
θ,θ,,
c',tsʼ,,
č, ʧ,,
č̓, č',,
ǰ, ʤ,,
ɛ,ɛ,,
ɛ́,ɛ',,
ʌ,ʌ,,
ə,ə,,
e,ə,,
ə́,ə',,
ə̣́,ə̣',,
ʌ́,ʌ',,
g,g,,
gʷ,gʷ,,
h,h,,
ḥ,h,,
ḥʷ,ḥʷ,,
i,i,,
i',ˈi,,
ɣ,ɣ,,
ɣ',ɣˀ,,
k,k,,
k',kʼ,,
kʷ,kʷ,,
k'ʷ,kʼʷ,,
l,l,,
l',lˀ,,
ḷ,ḷ..
ɬ,ɬ,,
ł,ɬ,,
ƛ',tɬʼ,,
m,m,,
m',mˀ,,
n,n,,
n',nˀ,,
ṇ,ṇ,,
ŋ,ŋ,,
o,o,,
o',ˈo,,
ó,ó,,
ɔ,ɔ,,
ɔ́,ɔ',, 
p,p,,
p',pʼ,,
q,q,,
q',qʼ,,
qʷ,qʷ,,
q'ʷ,qʼʷ,,
r,ɾ,,
r',ɾˀ,,
s,s,,
ṣ,ṣ,,
t,t,,
t',tʼ,,
ť,tʼ,,
ʕ,ʕ,,
ʕ',ʕˀ,,
u,u,,
u',ˈu,,
ú,u',,
ụ,ụ,,
ụ́,ụ',,
ʕʷ,ʕʷ,,
ʕ'ʷ,ʕˀʷ,,
x̌,χ,,
x,x,,
x̣,x̣,,
x̣ʷ, x̣ʷ,,
w,w,,
y,j,,
x̌ʷ,χʷ,,
xʷ,xʷ,,
w',wˀ,,
w,w,,
y',jˀ,,
ʷ,ʷ,,
ʡ,ʡ,,
ʔ,ʔ,,
ˀ,ˀ,,
z',z̓,,
